"Product Name","Product Type","SKU","URL","Image","Price","On/Off"
"24-Hour BOWEL Detox","","I24","24-hour-bowel-detox","/2/4/24hour-detox-570_1.jpg","10.0000","Catalog, Search"
"Air Detox","","IAD2","air-detox-2oz","/a/i/air-detox-2-oz-570_1.jpg","14.0000","Catalog, Search"
"Air Detox ""Large Size""","","IAD4","air-detox-4oz","/a/i/air-detox-4-oz-570_1.jpg","24.0000","Catalog"
"Anti-I Formula","","IAI","anti-i-formula","/a/n/anti-i-570_1.jpg","15.0000","Catalog, Search"
"Brain Formula","","IBF","brain-formula","/b/r/brain-formula-570_1.jpg","28.0000","Catalog"
"Bug Barrier","","IBO","bug-barrier","/b/u/bug-barrier_1.jpg","15.0000","Catalog, Search"
"Bug Block","","IBS","bug-block","/b/u/bug-block_1.jpg","20.0000","Catalog, Search"
"Children's Echinacea","","ICE","children-echinacea","/c/h/childrens-ech-570_1.jpg","22.0000","Catalog, Search"
"Cold & Flu Herbal ""10-SHOT""","","ICFS10","cold-flu-herbal-10-shot","/c/-/c-_-f-10-shot_3.jpg","125.0000","Catalog"
"Cayenne","Powder","ICP","cayenne-powder","/c/a/cayenne-powder-570_1.jpg","22.0000","Catalog, Search"
"SuperFood 100 Kids","","ICSF100","superfood-100-kids","/s/u/superfood-100-kids_570_1.jpg","24.0000","Catalog, Search"
"Cayenne Tincture","","ICT","cayenne-tincture","/c/a/cayenne-tincture-570_1.jpg","22.0000","Catalog, Search"
"Deep Tissue Oil","","IDE","deep-tissue-oil","/d/e/deep-tissue-oil-570_1.jpg","20.0000","Catalog, Search"
"Deep Tissue Ointment","","IDEO","deep-tissue-ointment","/d/e/deep-tissue-ointment_1.jpg","20.0000","Catalog, Search"
"Detox Formula","","IDF","detox-formula-lymph","/d/e/detox-formula-570_1.jpg","28.0000","Catalog, Search"
"Digestive Tonic","","IDI","digestive-tonic","/d/i/digestive-tonic-570_1.jpg","22.0000","Catalog, Search"
"Detox Tea","","IDT","detox-tea-6oz","/d/e/detox-tea-570_1.jpg","22.0000","Catalog, Search"
"Eyebright Formula","","IEF","eyebright-formula","/e/y/eyebright-570_1.jpg","22.0000","Catalog, Search"
"Echinacea Plus - ECH+","","SEPB2GSTF","echinacea-plus-2oz","/e/c/ech-supertonic_2_1.jpg","60.0000","Catalog, Search"
"Echinacea Plus - ECH+ ""Large Size""","","IEP4","echinacea-plus-4oz","/e/c/ech__4oz-570_1.jpg","54.0000","Catalog"
"Female Plus - FEM+","","IFB","female-plus-2oz","/f/e/fem_-formula-570_1.jpg","28.0000","Catalog, Search"
